Date Created,Tweet
2022-12-15 14:30:35+00:00,"@saosindofoodd Gilss, BMRI apakah menghijau?? Sebagai salah satu pengunduh Livin' by Mandiri aku bangggga 👍👍"
2022-12-15 13:01:05+00:00,"CNBC Indonesia Awards 2022 dengan bangga memberikan penghargaan kepada Direktur Utama PT Bank Mandiri (Persero) Tbk (BMRI), Darmawan Junaidi Sebagai ""Best CEO In Digital Banking Innovation""
https://t.co/Fr5LDWK8TJ.. https://t.co/7vAtUJQkIh"
2022-12-15 12:08:23+00:00,"Kejahatan perbankan bisa terjadi di mana aja dan kapan aja, jadi nggak bosen-bosennya nih buat ngingetin Sahabat agar selalu jag... https://t.co/u5LGvMjJDl #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/zOnQJAeOzp"
2022-12-15 12:08:22+00:00,"Approval transaksi makin praktis, tinggal lewat aplikasi Mandiri Mobile Token dari Kopra by Mandiri.

Mudah, cepat dan aman. Tra... https://t.co/qUIPxk1fNv #mandiri_itu_keren #bmristory #bmri #bankmandiri https://t.co/zOnQJAeOzp"
2022-12-15 10:22:11+00:00,"Tingkatkan transaksi di MOST Trading Challenge III untuk jadi pemenang! 🏆
Dapatkan kesempatan memenangkan:
💵 Grand Prize 50,000 lembar saham BMRI
🛵 Grand Prize Vespa Piaggio
💰 Undian 300 lembar saham BMRI
🎁 dan hadiah bulanan seru lainnya! https://t.co/5Qu6Xu6wQM"
2022-12-15 08:17:43+00:00,"Ini strategi Bank Mandiri (BMRI) untuk mengantisipasi libur Natal dan Tahun Baru (Nataru), khususnya terkait uang tunai.
https://t.co/jZUstFIEFT"
2022-12-15 07:12:45+00:00,"$BMRI
» EMA 60 masih jadi support
» Ada upaya rebound dan bisa dibeli bagi yang berminat
» CL &lt; 9775, Resisten di area 11000 https://t.co/eZvgywmAlo"
2022-12-15 06:39:31+00:00,"PT Bank Mandiri tancap gas menyalurkan kredit usaha rakyat (KUR) jelang akhir tahun. Bank bersandi saham BMRI ini telah menyalurkan KUR sebesar Rp 37,63 triliun hingga November 2022.

https://t.co/iOVAc15sTd"
2022-12-15 06:39:13+00:00,"PT Bank Mandiri tancap gas menyalurkan kredit usaha rakyat (KUR) jelang akhir tahun. Bank bersandi saham BMRI ini telah menyalurkan KUR sebesar Rp 37,63 triliun hingga November 2022.

https://t.co/gfkgZOR2nE https://t.co/Q4jaWFmObR"
2022-12-15 04:09:20+00:00,"Kode Keras Dividen BMRI, BBRI, BBNI, BBTN Makin Tebal Periode 2023
https://t.co/zd4ftAA31Z"
2022-12-15 02:49:41+00:00,Gagal Rally atau Hanya Tarik Nafas? https://t.co/Cx29YPUdrE via @YouTube #bmri #saham #ihsg
