"","BBNI.JK","BBRI.JK","BBTN.JK","BMRI.JK"
"2021-01-04",6211.786621,4056.912598,1796.25708,5999.474609
"2021-01-05",6333.586426,4019.261475,1786.387573,5930.25
"2021-01-06",6236.146973,3953.37207,1781.452759,5930.25
"2021-01-07",6260.506348,4028.674072,1786.387573,5976.399414
"2021-01-08",6309.226563,4132.215332,1830.800537,6045.624512
"2021-01-11",6357.946289,4376.947266,1885.083008,6322.523438
"2021-01-12",6333.586426,4442.836914,1880.148193,6414.822754
"2021-01-13",6357.946289,4508.726563,1845.604858,6391.748047
"2021-01-14",6284.866211,4489.900879,1880.148193,6322.523438
"2021-01-15",6163.066406,4311.057617,1830.800537,6207.148926
"2021-01-18",6138.706543,4348.709473,1806.126587,6391.748047
"2021-01-19",6065.626953,4348.709473,1776.518066,6437.897949
"2021-01-20",6260.506348,4602.854492,1840.670044,6807.096191
"2021-01-21",6260.506348,4508.726563,1835.735229,6691.72168
"2021-01-22",6114.347168,4442.836914,1776.518066,6645.571777
"2021-01-25",6065.626953,4499.313965,1756.778931,6737.871582
"2021-01-26",5919.466797,4376.947266,1687.692139,6807.096191
"2021-01-27",5822.027344,4348.709473,1677.82251,6737.871582
"2021-01-28",5627.147949,4207.51709,1603.801025,6507.122559
"2021-01-29",5407.908203,3934.546387,1549.518433,6068.699707
"2021-02-01",5700.228027,4141.627441,1653.148682,6184.07373
"2021-02-02",5748.947754,4103.976563,1717.300781,5976.399414
"2021-02-03",6138.706543,4122.802246,1707.431152,5999.474609
"2021-02-04",6114.347168,4226.342773,1727.170288,6068.699707
"2021-02-05",6138.706543,4207.51709,1766.648438,6045.624512
"2021-02-08",6138.706543,4198.104492,1766.648438,6068.699707
"2021-02-09",6065.626953,4348.709473,1712.365967,5999.474609
"2021-02-10",6041.266602,4376.947266,1717.300781,5999.474609
"2021-02-11",6041.266602,4405.186035,1707.431152,5999.474609
"2021-02-15",6065.626953,4433.424316,1830.800537,5999.474609
"2021-02-16",6187.426758,4395.773438,1904.822144,5976.399414
"2021-02-17",5992.547363,4358.121582,1850.539551,5861.025391
"2021-02-18",5870.747559,4395.773438,1835.735229,5768.725586
"2021-02-19",5846.387207,4508.726563,1855.474365,5884.100098
"2021-02-22",5773.307617,4508.726563,1904.822144,5884.100098
"2021-02-23",5797.66748,4508.726563,1973.908936,5837.950684
"2021-02-24",5919.466797,4452.25,2072.604248,5884.100098
"2021-02-25",5919.466797,4452.25,2082.473877,5791.800781
"2021-02-26",5797.66748,4433.424316,2042.995728,5676.425781
"2021-03-01",6065.626953,4546.37793,2102.212891,6068.699707
"2021-03-02",5992.547363,4518.13916,2121.952148,6091.774414
"2021-03-03",5870.747559,4565.203613,2092.343506,6091.774414
"2021-03-04",5846.387207,4480.488281,2102.212891,6045.624512
"2021-03-05",5846.387207,4489.900879,2082.473877,5976.399414
"2021-03-08",5846.387207,4452.25,2121.952148,5930.25
"2021-03-09",5822.027344,4311.057617,1973.908936,5930.25
"2021-03-10",5895.107422,4358.121582,1964.039307,5999.474609
"2021-03-12",5992.547363,4311.057617,1949.234985,6207.148926
"2021-03-15",6163.066406,4301.64502,1944.300293,6137.924316
"2021-03-16",6065.626953,4442.836914,1939.365479,6045.624512
